Batteries (kWh),Panel:1kWh,Panel:2kWh,Panel:3kWh,Panel:4kWh,Panel:5kWh,Panel:10kWh,Panel:15kWh,Panel:20kWh,Panel:25kWh
60.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576
57.10526315789474,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576
54.21052631578947,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.47368421052631576
51.31578947368421,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.42105263157894735,0.42105263157894735
48.42105263157895,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735
45.526315789473685,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735
42.631578947368425,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.42105263157894735
39.73684210526316,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.3157894736842105,0.3684210526315789,0.3684210526315789
36.8421052631579,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789
33.94736842105263,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789
31.05263157894737,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3684210526315789
28.157894736842106,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.3157894736842105
25.263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.3157894736842105
22.36842105263158,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.3157894736842105
19.473684210526315,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.2631578947368421
16.578947368421055,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.2631578947368421
13.68421052631579,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.21052631578947367
10.789473684210527,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.21052631578947367
7.894736842105264,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.15789473684210525
5.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684
